ID_CLIENT	CRED	DF	OST
6715355977496	3PJ12C87	01.04.2021	16998
5835613988348	8RY95GLS	01.07.2021	4003
7029341434208	DQ5Q5ECX	01.07.2021	5098
4061419452762	OCSUP90K	01.07.2021	3058
3888849901185	4JYPQD4H	01.07.2021	4861
6149484617433	9SGJ0C67	01.07.2021	4753
3147925453782	1NQ8TKQK	01.07.2021	3788
2645470240503	EV7P8XUE	01.07.2021	5779
5539597644958	QTFKJYLC	01.07.2021	3276
5750961567821	6X3FM24N	01.07.2021	10369
5309974762577	I3M4QAI4	01.07.2021	5278
7609001817465	OQGO6V4L	01.07.2021	2454
5700400531221	NHNNORUG	01.07.2021	3153
9749497659281	48F8RHGX	01.07.2021	7611
5636066742992	WP0QCBNT	01.07.2021	5548
9931803038951	PL6BK557	01.07.2021	5297
6222897474835	8W45IUFE	01.07.2021	5741
7890351938209	R768ZPOD	01.07.2021	2197
2957703450963	HW1NQG17	01.07.2021	4919
9119046145976	7ZM0X6AY	01.07.2021	9078
5362837090185	OUBVRECP	01.07.2021	8838
1916634235399	VSRVV9CS	01.07.2021	7946
6484464478746	W5ZZ43V7	01.07.2021	12899
2342076343592	ZVR3NBB6	01.07.2021	6532
7683841999205	1FN36K8I	01.07.2021	6827
6424220625909	KZ61BA9T	01.07.2021	7899
7114051205242	L2GMO8ZE	01.07.2021	7765
5628190431290	C95CYYCE	01.07.2021	3483
6382974792867	PBLE2RA0	01.07.2021	1957
6200126884806	80DUSVLO	01.07.2021	3410
8353101595244	KHZWHKH5	01.07.2021	6189
1227907787756	9NEJGOVG	01.07.2021	9011
6963954309122	61MVPEJ7	01.07.2021	2613
7388112103683	BMRISBJT	01.07.2021	5357
4076053083534	H1V69CZD	01.07.2021	6806
4061419452762	ECOWE3GO	01.07.2021	1339
3888849901185	PTSU59DA	01.07.2021	8669
6149484617433	IGEDPN5S	01.07.2021	3788
5344779681937	2TN4P8TT	01.07.2021	2371
5315120626375	NDZSBD20	01.07.2021	7323
9119046145976	8DY9U95W	01.07.2021	6367
6715355977496	GCVJKK61	01.07.2021	9302
5204684483370	ZC9DT88E	01.07.2021	7409
1916634235399	E4BTUHX4	01.07.2021	4544
6484464478746	WUOKYTHX	01.07.2021	12688
4602269100714	1U96CMX3	01.07.2021	1608
2342076343592	MNM9UYJW	01.07.2021	2968
7639100342470	VFB2PUNI	01.07.2021	2490
7683841999205	ZRJB63EF	01.07.2021	4448
6424220625909	57ZHC27W	01.07.2021	5934
7114051205242	NV93N3ID	01.07.2021	9692
5628190431290	BBPRJIE7	01.07.2021	4822
6149484617433	4Z482F8K	01.07.2021	2815
5344779681937	RTPLJEJX	01.07.2021	3260
5315120626375	5KOLJ93T	01.07.2021	9817
9785551655592	AS35PKAZ	01.07.2021	3883
9119046145976	WB388XWE	01.07.2021	4914
6715355977496	3PJ12C87	01.07.2021	8687
3147925453782	I0CPGMZD	01.07.2021	9118
2645470240503	44CGG80X	01.07.2021	3766
5539597644958	TX5GHSC9	01.07.2021	4175
5750961567821	4LYW64W4	01.07.2021	9987
5309974762577	8REEKRYJ	01.07.2021	3212
7609001817465	V14AOX5J	01.07.2021	4688
6424220625909	2QI36WSA	01.07.2021	5815
7114051205242	9F4C77Q2	01.07.2021	6461
5628190431290	63HF5CB0	01.07.2021	3777
6382974792867	UY2WTBSS	01.07.2021	4934
6200126884806	N09HISDD	01.07.2021	2857
8353101595244	772OBXL2	01.07.2021	4385
1227907787756	SLIB2KQA	01.07.2021	3670
6963954309122	T8YKYAAD	01.07.2021	5076
6484464478746	LTZK7KCV	01.07.2021	14189
7683841999205	UYUXHOBX	01.07.2021	4288
